City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,shemgang,27.2169,90.6579,9.49,96,11,2.61,BT,1731877606
149,son la,21.3167,103.9,17.36,86,88,1.08,VN,1731877607
150,susuman,62.7833,148.1667,-21.8,96,100,2.68,RU,1731877609
151,codajas,-3.8367,-62.0569,33.22,43,19,1.59,BR,1731877610
152,kapit,2.0167,112.9333,22.74,99,77,0.3,MY,1731877325
153,olonkinbyen,70.9221,-8.7187,-4.57,66,100,13.48,SJ,1731877612
154,lazaro cardenas,17.9583,-102.2,29.12,65,13,3.68,MX,1731877613
155,port blair,11.6667,92.75,27.3,77,93,3.81,IN,1731877614
156,gizo,-8.103,156.8419,28.14,73,51,2.14,SB,1731877615
157,nuuk,64.1835,-51.7216,-3.66,54,0,7.72,GL,1731877616
158,kiama,-34.6833,150.8667,20.21,54,100,2.68,AU,1731877618
159,boca suno,-0.7167,-77.1333,28.43,74,100,1.71,EC,1731877619
160,brisas de zicatela,15.8369,-97.0419,31.29,74,40,6.69,MX,1731877620
161,walvis bay,-22.9575,14.5053,15.71,87,56,2.03,NA,1731877621
162,kalmunai,7.4167,81.8167,25.5,87,51,2.25,LK,1731877622
163,idri,27.5,13.2667,18.1,28,0,1.82,LY,1731877623
164,magadan,59.5667,150.8,-1.5,89,100,21.0,RU,1731877624
165,patterson,37.4716,-121.1297,16.64,42,0,2.34,US,1731877626
166,kangding,30.0513,101.9603,4.44,83,28,1.3,CN,1731877627
167,saynshand,44.8824,110.1163,-4.47,34,0,3.53,MN,1731877628
168,wailua homesteads,22.0669,-159.378,26.44,78,75,8.23,US,1731877629
169,bilibino,68.0546,166.4372,-31.92,98,51,1.82,RU,1731877630
170,kulhudhuffushi,6.6221,73.07,27.55,80,100,4.53,MV,1731877631
171,pacasmayo,-7.4006,-79.5714,21.26,71,48,6.09,PE,1731877633
172,baiao,-2.7906,-49.6717,32.89,38,74,0.55,BR,1731877634
173,port lincoln,-34.7333,135.8667,14.46,63,100,4.09,AU,1731877636
174,palikir - national government center,6.9248,158.1611,29.41,74,40,4.12,FM,1731877482
175,victoria de durango,24.0333,-104.6667,16.68,67,100,6.44,MX,1731877411
176,shingu,33.7333,135.9833,13.54,87,2,2.83,JP,1731877639
177,es castell,39.8795,4.2854,13.38,94,0,1.54,ES,1731877641
178,vilyuchinsk,52.9306,158.4028,4.15,99,100,0.86,RU,1731877642
179,suva,-18.1416,178.4415,27.71,78,75,0.0,FJ,1731877623
180,ko pha ngan,9.7578,100.0291,25.38,76,100,3.86,TH,1731877644
181,punta arenas,-53.15,-70.9167,11.06,58,20,11.32,CL,1731877612
182,tommot,58.9564,126.2925,-30.38,98,55,1.0,RU,1731877646
183,rongelap,11.1635,166.8941,28.27,79,1,7.8,MH,1731877648
184,chernyshevsk,52.5243,117.0174,-30.84,100,74,0.41,RU,1731877650
185,new plymouth,-39.0667,174.0833,18.78,100,5,2.35,NZ,1731877651
186,el matama,16.7095,33.3565,27.95,26,0,4.65,SD,1731877652
187,pinheiro,-2.5214,-45.0825,30.52,55,27,3.79,BR,1731877653
188,saudarkrokur,65.7461,-19.6394,-4.43,74,100,4.55,IS,1731877656
189,asau,46.4333,26.4,6.09,83,34,3.81,RO,1731877657
190,sao miguel do araguaia,-13.275,-50.1628,24.73,89,99,2.14,BR,1731877658
